# time, 'deltacol', 'deltalat', 'deltalon', 'deltaped', 'x', 'y', 'z', 'q0', 'q1', 'q2', 'q3', 'u', 'v', 'w', 'p', 'q', 'r', 'wM1', 'wdotM1', 'wM2', 'wdotM2', 'wM3', 'wdotM3', 'wM4', 'wdotM4', 'deltacol_p', 'deltalat_p', 'deltalon_p', 'deltaped_p', reward, control reward
1.000000000000000021e-02,5.049745234524485227e+02,5.049745234524485227e+02,5.049745234524485227e+02,5.049745234524485227e+02,0.000000000000000000e+00,0.000000000000000000e+00,6.857056922271453914e-09,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.307902504414485634e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.854599301238818443e-01,-1.433873827414577917e-02,-1.854599301238818443e-01,-1.433873827414577917e-02,-1.854599301238818443e-01,-1.433873827414577917e-02,-1.854599301238818443e-01,-1.433873827414577917e-02,-3.001698436503431600e-01,-3.001698436503431600e-01,-3.001698436503431600e-01,-3.001698436503431600e-01,-5.314759561336757088e-06,-5.314759561336757088e-06
1.499999999999999944e-02,5.050106912502699856e+02,5.050106912502699856e+02,5.050106912502699856e+02,5.050106912502699856e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.656126720436475352e-08,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.619480736483104977e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.974175291720257075e-01,-2.051951484914626977e-02,-1.974175291720257075e-01,-2.051951484914626977e-02,-1.974175291720257075e-01,-2.051951484914626977e-02,-1.974175291720257075e-01,-2.051951484914626977e-02,-2.999287249982001136e-01,-2.999287249982001136e-01,-2.999287249982001136e-01,-2.999287249982001136e-01,-3.629136863203541452e-05,-3.629136863203541452e-05
2.000000000000000042e-02,5.051897467376595046e+02,5.051897467376595046e+02,5.051897467376595046e+02,5.051897467376595046e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.318504951417168058e-07,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.046073781894030219e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.117407364289169980e-01,-2.190143898908247788e-02,-2.117407364289169980e-01,-2.190143898908247788e-02,-2.117407364289169980e-01,-2.190143898908247788e-02,-2.117407364289169980e-01,-2.190143898908247788e-02,-2.987350217489366244e-01,-2.987350217489366244e-01,-2.987350217489366244e-01,-2.987350217489366244e-01,-1.050392286845447387e-04,-1.050392286845447387e-04
2.500000000000000139e-02,5.054731214446974832e+02,5.054731214446974832e+02,5.054731214446974832e+02,5.054731214446974832e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.210009153318480912e-06,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.132760968258651246e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.260006020346448929e-01,-2.062545098582102554e-02,-2.260006020346448929e-01,-2.062545098582102554e-02,-2.260006020346448929e-01,-2.062545098582102554e-02,-2.260006020346448929e-01,-2.062545098582102554e-02,-2.968458570353501580e-01,-2.968458570353501580e-01,-2.968458570353501580e-01,-2.968458570353501580e-01,-2.144861059791836055e-04,-2.144861059791836055e-04
3.000000000000000236e-02,5.058088739206020250e+02,5.058088739206020250e+02,5.058088739206020250e+02,5.058088739206020250e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.627967144785969822e-06,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.598738462924355730e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.389147099758384130e-01,-1.804568088543079263e-02,-2.389147099758384130e-01,-1.804568088543079263e-02,-2.389147099758384130e-01,-1.804568088543079263e-02,-2.389147099758384130e-01,-1.804568088543079263e-02,-2.946075071959864955e-01,-2.946075071959864955e-01,-2.946075071959864955e-01,-2.946075071959864955e-01,-3.625018134372215428e-04,-3.625018134372215428e-04
3.500000000000000333e-02,5.061652862489360132e+02,5.061652862489360132e+02,5.061652862489360132e+02,5.061652862489360132e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.864055948239354166e-06,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.396231671657147899e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.499141675340289526e-01,-1.498737517208992287e-02,-2.499141675340289526e-01,-1.498737517208992287e-02,-2.499141675340289526e-01,-1.498737517208992287e-02,-2.499141675340289526e-01,-1.498737517208992287e-02,-2.922314250070932040e-01,-2.922314250070932040e-01,-2.922314250070932040e-01,-2.922314250070932040e-01,-5.444872231139541441e-04,-5.444872231139541441e-04
4.000000000000000083e-02,5.065239348786790856e+02,5.065239348786790856e+02,5.065239348786790856e+02,5.065239348786790856e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.070029403395295731e-06,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.468665586425338176e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.588551599418402738e-01,-1.192734974671438852e-02,-2.588551599418402738e-01,-1.192734974671438852e-02,-2.588551599418402738e-01,-1.192734974671438852e-02,-2.588551599418402738e-01,-1.192734974671438852e-02,-2.898404341421394470e-01,-2.898404341421394470e-01,-2.898404341421394470e-01,-2.898404341421394470e-01,-7.549365880459291134e-04,-7.549365880459291134e-04
4.499999999999999833e-02,5.068748970734764612e+02,5.068748970734764612e+02,5.068748970734764612e+02,5.068748970734764612e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.236911897550818651e-05,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.759595445211211029e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.658310108194860133e-01,-9.118448326737027543e-03,-2.658310108194860133e-01,-9.118448326737027543e-03,-2.658310108194860133e-01,-9.118448326737027543e-03,-2.658310108194860133e-01,-9.118448326737027543e-03,-2.875006861768235611e-01,-2.875006861768235611e-01,-2.875006861768235611e-01,-2.875006861768235611e-01,-9.883286634966292894e-04,-9.883286634966292894e-04
4.999999999999999584e-02,5.072135069310069753e+02,5.072135069310069753e+02,5.072135069310069753e+02,5.072135069310069753e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.785739984994094698e-05,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.221735386002231749e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.710530502357550997e-01,-6.674020235785227406e-03,-2.710530502357550997e-01,-6.674020235785227406e-03,-2.710530502357550997e-01,-6.674020235785227406e-03,-2.710530502357550997e-01,-6.674020235785227406e-03,-2.852432871266201708e-01,-2.852432871266201708e-01,-2.852432871266201708e-01,-2.852432871266201708e-01,-1.239592785852172696e-03,-1.239592785852172696e-03
5.499999999999999334e-02,5.075382216230954100e+02,5.075382216230954100e+02,5.075382216230954100e+02,5.075382216230954100e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.460676811710804657e-05,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.479708113995892305e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.747777764928870381e-01,-4.624203960579165162e-03,-2.747777764928870381e-01,-4.624203960579165162e-03,-2.747777764928870381e-01,-4.624203960579165162e-03,-2.747777764928870381e-01,-4.624203960579165162e-03,-2.830785225126972726e-01,-2.830785225126972726e-01,-2.830785225126972726e-01,-2.830785225126972726e-01,-1.504314882113000351e-03,-1.504314882113000351e-03
