# time, 'deltacol', 'deltalat', 'deltalon', 'deltaped', 'x', 'y', 'z', 'q0', 'q1', 'q2', 'q3', 'u', 'v', 'w', 'p', 'q', 'r', 'wM1', 'wdotM1', 'wM2', 'wdotM2', 'wM3', 'wdotM3', 'wM4', 'wdotM4', reward, control reward
1.000000000000000021e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-6.661338147750939243e-16,-1.801019061902054963e-01,-6.661338147750939243e-16,-1.801019061902054963e-01,-6.661338147750939243e-16,-1.801019061902054963e-01,-6.661338147750939243e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-7.771561172376095783e-16,-1.801019061902054963e-01,-7.771561172376095783e-16,-1.801019061902054963e-01,-7.771561172376095783e-16,-1.801019061902054963e-01,-7.771561172376095783e-16,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000236e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
4.499999999999999833e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
4.999999999999999584e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
5.499999999999999334e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
